volume,price,open,high,low,close,times,MinLow,MaxHigh,RSV,K,D,J,Prediction_Result
17140935,10434209332,609.0,611.0,607.0,608.0,13140,585.0,617.0,71.875,69.17240924,67.10686118,62.97576507,0
21776308,13285168416,612.0,612.0,608.0,610.0,14487,585.0,617.0,78.125,72.15660616,68.79010951,62.0571162,0
21829653,13330782804,615.0,615.0,608.0,610.0,14807,595.0,617.0,68.18181818,70.83167683,69.47063195,66.74854218,0
22933191,14019057524,613.0,614.0,607.0,613.0,15913,598.0,617.0,78.94736842,73.53690736,70.82605709,65.40435654,0
38847820,24047156185,622.0,623.0,617.0,618.0,32179,600.0,623.0,78.26086957,75.11156143,72.25455854,66.54055275,0
23296854,14354639781,618.0,618.0,615.0,615.0,14108,600.0,623.0,65.2173913,71.81350472,72.1075406,72.69561235,0
20022520,12266300247,615.0,615.0,611.0,612.0,15011,600.0,623.0,52.17391304,65.26697416,69.82735179,78.94810703,1
22978524,13904268592,612.0,612.0,602.0,603.0,23584,602.0,623.0,4.761904762,45.0986177,61.58444042,94.55608588,1
14171433,8551663451,605.0,607.0,601.0,603.0,14137,601.0,623.0,9.090909091,33.09604816,52.08830967,90.07283268,1
27882175,16609442268,598.0,601.0,592.0,596.0,47638,592.0,623.0,12.90322581,26.36510738,43.5139089,77.81151196,0
24160615,14360266132,594.0,598.0,591.0,593.0,23653,591.0,623.0,6.25,19.66007158,35.5626298,67.36774622,1
69160408,41208103150,597.0,600.0,591.0,596.0,24427,591.0,623.0,15.625,18.31504772,29.81343577,52.81021187,1
30119408,18021861252,596.0,603.0,594.0,600.0,15695,591.0,623.0,28.125,21.58503182,27.07063445,38.04183973,0
48720976,29780012954,605.0,615.0,602.0,615.0,40629,591.0,618.0,88.88888889,44.01965084,32.72030658,10.12161807,0
27571974,16798271782,614.0,614.0,606.0,608.0,16197,591.0,615.0,70.83333333,52.957545,39.46605272,12.48306816,0
24474913,14740969839,603.0,609.0,600.0,600.0,19139,591.0,615.0,37.5,47.80503,42.24571182,31.12707544,0
21105883,12704452330,602.0,607.0,597.0,607.0,22160,591.0,615.0,66.66666667,54.09224222,46.19455529,30.39918141,0
22194708,13490034097,614.0,614.0,602.0,602.0,15634,591.0,615.0,45.83333333,51.33927259,47.90946105,41.04983798,0
12467833,7554386680,606.0,608.0,602.0,608.0,9231,591.0,615.0,70.83333333,57.83729284,51.21873832,37.98162927,0
11371659,6874539365,605.0,608.0,602.0,605.0,9215,591.0,615.0,58.33333333,58.00263967,53.48003877,44.43483696,1
17994933,10887156003,609.0,610.0,601.0,601.0,12503,594.0,615.0,33.33333333,49.77953756,52.24653837,57.18053998,0
22997961,13757424386,598.0,600.0,597.0,599.0,21324,597.0,615.0,11.11111111,36.89006208,47.12771294,67.60301465,0
22419040,13420958112,597.0,601.0,596.0,600.0,19195,596.0,614.0,22.22222222,32.00078212,42.08540267,62.25464375,0
22151282,13370280179,605.0,605.0,601.0,605.0,15515,596.0,614.0,50.0,38.00052142,40.72377558,46.17028391,0
30319495,18339763894,601.0,607.0,599.0,607.0,11667,596.0,614.0,61.11111111,45.70405131,42.38386749,35.74349985,0
22381761,13446342438,607.0,607.0,598.0,598.0,18943,596.0,614.0,11.11111111,34.17307125,39.64693541,50.59466374,0
17669559,10560361874,597.0,600.0,595.0,597.0,17336,595.0,610.0,13.33333333,27.22649194,35.50678759,52.06737888,0
10127887,6067689422,598.0,601.0,598.0,600.0,8238,595.0,610.0,33.33333333,29.26210574,33.42522697,41.75146944,0
16910501,10238270336,607.0,608.0,602.0,606.0,12888,595.0,610.0,73.33333333,43.95251494,36.93432296,22.89793901,0
12008673,7276331245,606.0,609.0,604.0,604.0,10444,595.0,609.0,64.28571429,50.73024805,41.53296466,23.13839787,0
16771900,10193462167,604.0,610.0,604.0,606.0,16637,595.0,610.0,73.33333333,58.26460981,47.11017971,24.8013195,0
35156339,21569506434,610.0,615.0,610.0,615.0,36241,595.0,615.0,100.0,72.17640654,55.46558865,22.04395288,0
25604320,15788043027,615.0,619.0,614.0,616.0,28804,595.0,619.0,87.5,77.28427103,62.73848278,33.64690628,0
